ChEMBLID,Name,SMILES,MolecularWeight,ALogP,HBondDonors,HBondAcceptors,TPSA,RotatableBonds,MaxPhase_1,MaxPhase_2,MaxPhase_3,Source
CHEMBL459,METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,211.22,0.44,4,4,103.78,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,276.38,1.96,1,3,45.33,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,267.33,2.85,2,3,43.7,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,4.43,1,3,40.54,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL55,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,340.43,2.88,4,4,118.2,10,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL463,AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1,194.19,0.08,3,3,92.42,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL57,NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.3,2.65,1,4,58.12,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL465,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,314.47,5.74,1,2,29.46,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL58,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,444.49,-0.14,8,10,163.18,12,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL59,DOPAMINE,NCCc1ccc(O)c(O)c1,153.18,0.6,3,3,66.48,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL467,HYDROXYUREA,NC(=O)NO,76.05,-0.96,3,2,75.35,0,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL61,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,414.41,2.41,1,8,92.68,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL64,ISONIAZID,NNC(=O)c1ccncc1,137.14,-0.31,2,3,68.01,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL471,SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,272.37,1.09,3,4,78.43,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL472,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.01,3.64,3,5,113.6,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL473,DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,441.58,1.98,2,6,104.81,11,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL476,DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O,182.19,0.07,2,4,99.73,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL477,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,267.25,-1.98,4,9,139.54,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL480,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,369.37,3.52,1,4,73.86,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL481,IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,586.69,4.09,1,9,114.2,4,52,46,48,ChEMBL CC-BY-SA 3.0
